ALLEE; ALLEE ; ALL ;;
AVENUE; AVENUE ; AV ; AVE ;
BOULEVARD; BOULEVARD ; BVD ; BLVD ; BD 
CARRIERE; CARRIERE ; CAR ;;
CHEMIN; CHEMIN ; CHE ;;
CITE; CITE ;;;
CLOS; CLOS ;;;
CONTOUR; CONTOUR ; CTRE ;;
COUR; COUR ;;;
FACADE; FACADE ; FAC ;;
GROUPE; GROUPE ; GRP ;;
IMPASSE; IMPASSE ; IMP ;;
PARVIS; PARVIS ; PRV ;;
PASSAGE; PASSAGE ; PASS ;;
PAVE; PAVE ;;;
PAVILLON; PAVILLON ;;;
PETITE PLACE; PETITE PLACE ; PLACETTE ;;
PLACE; PLACE ;;;
PONT; PONT ;;;
QUAI; QUAI ;;;
RESIDENCE; RESIDENCE ;;;
RUE; RUE ; R ;;
RUELLE; RUELLE ;;;
SENTIER; SENTIER ; SENT ;;
SQUARE; SQUARE ; SQR ;;
TERRASSE; TERRASSE ; TSSE ; TERASSE ;
VILLA; VILLA ;;;
